article,section,chunk_index,question
2022 FIFA World Cup,Marketing,70,"How many sponsor categories were used for the 2022 FIFA World Cup, and what were they divided into?"
2022 FIFA World Cup,Marketing,70,Why was the 2022 FIFA World Cup sponsorship setup considered a first for FIFA?
2022 FIFA World Cup,Officiating,47,Who were the female referees appointed to officiate at the 2022 men's World Cup in Qatar?
2022 FIFA World Cup,Officiating,47,Which match did Stéphanie Frappart become the first woman to referee at a men's World Cup?
2022 FIFA World Cup,Officiating,47,"How many referees, assistant referees, and video assistant referees did FIFA name for the 2022 World Cup?"
2022 FIFA World Cup,Officiating,48,Which referee did FIFA pick to officiate the 2022 World Cup final on 15 December 2022?
2022 FIFA World Cup,Officiating,48,Which Argentine assistant referee had already worked the 2018 World Cup final and was at his third World Cup in Qatar?
2022 FIFA World Cup,Officiating,48,Which Gambian referee was serving at his third World Cup during the 2022 tournament in Qatar?
2022 FIFA World Cup,Opening ceremony,49,Where was the opening ceremony for the 2022 FIFA World Cup held before Qatar played Ecuador?
2022 FIFA World Cup,Opening ceremony,49,Which performers and guests appeared in the 2022 World Cup opening ceremony in Qatar?
2022 FIFA World Cup,Opening ceremony,49,Who declared the 2022 FIFA World Cup tournament open during the opening ceremony?
2022 FIFA World Cup,Prize money,6,How much money did each qualified team get before the 2022 World Cup started to help with preparation costs?
2022 FIFA World Cup,Prize money,6,What was the total prize pool for the 2022 FIFA World Cup in Qatar?
2022 FIFA World Cup,Prize money,6,How much bigger was the 2022 World Cup prize pool than the one from the previous tournament?
2022 FIFA World Cup,Rule changes,7,"How many substitutions were teams allowed to make in normal time at the 2022 World Cup, and did extra time allow another one?"
2022 FIFA World Cup,Rule changes,7,"What was the first World Cup to use concussion substitutes, and how many could each team use in a match?"
2022 FIFA World Cup,Rule changes,7,"Who replaced Iran goalkeeper Alireza Beiranvand after his concussion against England, and why was that substitution notable?"
2022 FIFA World Cup,Schedule,3,Why was the 2022 FIFA World Cup held in November and December instead of the usual summer months?
2022 FIFA World Cup,Schedule,3,"Which opening match was moved ahead a day so Qatar could start the tournament, and who did they play?"
2022 FIFA World Cup,Schedule,3,On what date and at which stadium was the 2022 World Cup final played?
2022 FIFA World Cup,Statistics,62,Why was France forward Kylian Mbappé given the Golden Boot at the 2022 World Cup in Qatar?
2022 FIFA World Cup,Statistics,62,"How many goals did Kylian Mbappé score at the 2022 FIFA World Cup, and who was the last player to score that many in a tournament?"
2022 FIFA World Cup,Statistics,62,What rules at the 2022 World Cup lead to a player being automatically suspended for the next match?
2022 FIFA World Cup,Statistics,63,What are the rules for a player getting suspended in the 2022 FIFA World Cup after receiving a red card?
2022 FIFA World Cup,Statistics,63,Can a player miss a match at the 2022 World Cup by picking up yellow cards in two different games?
2022 FIFA World Cup,Statistics,63,Do yellow card suspensions at the 2022 FIFA World Cup carry over into later international matches after the quarter-finals?
2022 FIFA World Cup,Symbols,71,"What was the name of the official mascot for the 2022 FIFA World Cup in Qatar, and what does it mean in Arabic?"
2022 FIFA World Cup,Symbols,71,When was the 2022 FIFA World Cup mascot Laeeb first revealed?
2022 FIFA World Cup,Symbols,71,"According to FIFA, what kind of personality and role does Laeeb have as the World Cup mascot?"
2022 FIFA World Cup,Symbols,72,What was the name of the official match ball unveiled in March 2022 for the Qatar World Cup?
2022 FIFA World Cup,Symbols,72,What does the Arabic name Al-Rihla mean for the 2022 World Cup ball?
2022 FIFA World Cup,Symbols,72,Why was the Adidas Al Rihla considered a more sustainable World Cup match ball?
2022 FIFA World Cup,Symbols,73,"What was the name of the Adidas match ball used for the World Cup semi-finals, third-place match, and final in Qatar?"
2022 FIFA World Cup,Symbols,73,"Which song was the first release on the 2022 FIFA World Cup official soundtrack, and who performed it?"
2022 FIFA World Cup,Symbols,73,"Who performed the FIFA World Cup song ""Light The Sky"" released in October 2022?"
2022 FIFA World Cup,Symbols,74,"Who performed the FIFA Fan Festival song ""Tukoh Taka"" for the 2022 World Cup in Qatar?"
2022 FIFA World Cup,Symbols,74,"Which song by BTS member Jungkook was released on 20 November 2022 for the 2022 FIFA World Cup, and who performed it at the opening ceremony?"
2022 FIFA World Cup,Symbols,74,"Who sang ""Dreamers"" with Fahad Al-Kubaisi at the 2022 FIFA World Cup opening ceremony?"
2022 FIFA World Cup,Teams,20,"How did Qatar qualify for the 2022 FIFA World Cup, and why did Lebanon advance in the Asian qualifying stage instead of them?"
2022 FIFA World Cup,Teams,20,"Which team made its FIFA World Cup debut at Qatar 2022, and when was the last time a host nation did that?"
2022 FIFA World Cup,Teams,20,Did France have to go through European qualifying for the 2022 World Cup even though they were the defending champions?
2022 FIFA World Cup,Teams,21,"Which team was making its FIFA World Cup debut at Qatar 2022, and what made that debut unusual for the hosts?"
2022 FIFA World Cup,Teams,21,"When was Wales’s previous World Cup appearance before Qatar 2022, and how long had the gap been?"
2022 FIFA World Cup,Teams,21,Which 2022 World Cup host nation was the first to be making its tournament debut since Italy in 1934?
2022 FIFA World Cup,Teams,23,"Which 2022 World Cup team had the lowest FIFA ranking when they qualified for Qatar, and what was that ranking?"
2022 FIFA World Cup,Teams,23,How high was Ghana ranked before the 2022 FIFA World Cup started?
2022 FIFA World Cup,Teams,23,Which team was the lowest-ranked qualifier for the 2022 World Cup?
2022 FIFA World Cup,Teams,44,Which teams qualified for the 2022 World Cup for the last time as of 2026?
2022 FIFA World Cup,Teams,44,Which countries failed to make the 2022 World Cup and were still missing out as of 2026?
2022 FIFA World Cup,Teams,44,"How many players were teams allowed to name in their final 2022 World Cup squads, and which two teams picked only 25?"
2022 FIFA World Cup,Teams,45,When and where was the final draw for the 2022 FIFA World Cup held in Qatar?
2022 FIFA World Cup,Teams,45,Who hosted and helped lead the 2022 World Cup final draw in Doha?
2022 FIFA World Cup,Teams,45,How were the 32 teams seeded into pots for the 2022 FIFA World Cup draw?
2022 FIFA World Cup,Teams,46,"How were the eight 2022 World Cup groups put together from the four pots, and what confederation restrictions applied in the draw?"
2022 FIFA World Cup,Teams,46,Why was Qatar assigned to position A1 in the 2022 FIFA World Cup draw?
2022 FIFA World Cup,Teams,46,"In the 2022 World Cup group draw, could two teams from the same confederation end up in the same group, and what was the exception?"
2022 FIFA World Cup,Venues,11,Which stadium hosted the final of the 2022 FIFA World Cup in Qatar?
2022 FIFA World Cup,Venues,11,How many of the eight 2022 World Cup venues in Qatar were newly built for the tournament?
2022 FIFA World Cup,Venues,11,What main design goals did Qatar want its World Cup stadiums to reflect?
2022 FIFA World Cup,Venues,12,Which World Cup stadiums in Qatar were the only indoor venues among the eight used in 2022?
2022 FIFA World Cup,Venues,12,What was planned to happen to the upper tiers of the Qatar World Cup stadiums after the tournament ended?
2022 FIFA World Cup,Venues,12,Who designed the five stadium projects Qatar launched for the 2022 FIFA World Cup?
2022 FIFA World Cup,Venues,13,How many stadiums ended up being built or renovated for the 2022 World Cup in Qatar?
2022 FIFA World Cup,Venues,13,Which World Cup venue in Qatar was renovated instead of newly built for the tournament?
2022 FIFA World Cup,Venues,13,How many stadiums did Qatar want to reduce the World Cup venue count to in the 2013 proposal?
2022 FIFA World Cup,Venues,14,When did Al Bayt Stadium in Al Khor host its first match at the 2022 World Cup?
2022 FIFA World Cup,Venues,14,What year were the first piles driven for Al Bayt Stadium in Al Khor?
2022 FIFA World Cup,Venues,14,When was Lusail Stadium in Lusail completed before the 2022 FIFA World Cup?
2022 FIFA World Cup,Venues,15,Which new stadium in Al Rayyan was built on the site of the demolished former Ahmad bin Ali Stadium?
2022 FIFA World Cup,Venues,15,When was the Ahmad bin Ali Stadium in Al Rayyan commissioned for the 2022 FIFA World Cup?
2022 FIFA World Cup,Venues,15,What is the name of the new Al Rayyan stadium that was completed on 15 June 2020?
2022 FIFA World Cup,Venues,16,"Which stadium in Al Rayyan was heavily renovated for the 2022 FIFA World Cup, and when was it commissioned again?"
2022 FIFA World Cup,Venues,16,"What was the largest stadium in Qatar at the time of the tournament, and when had it been closed for renovation?"
2022 FIFA World Cup,Venues,16,Which new stadium in Doha was finished on 21 October 2021 for the World Cup?
2022 FIFA World Cup,Venues,17,When was Stadium 974 in Doha completed before the 2022 FIFA World Cup in Qatar?
2022 FIFA World Cup,Venues,17,Which Qatar World Cup venue had already hosted matches during the 2021 FIFA Arab Cup?
2022 FIFA World Cup,Venues,17,When did construction begin and finish on Al Janoub Stadium in Al Wakrah for the 2022 FIFA World Cup?
2022 FIFA World Cup,Venues,18,"Which Qatar World Cup venue was meant to be taken apart after the tournament, but was still sitting abandoned there as of November 2024?"
2022 FIFA World Cup,Venues,18,Which stadium used at the 2022 World Cup was the first ever planned temporary venue for a FIFA World Cup?
2022 FIFA World Cup,Venues,18,Which two Qatar World Cup stadiums were mostly left unchanged after the tournament?
2022 FIFA World Cup,Venues,19,"How many security personnel did Qatar employ for the 2022 FIFA World Cup, and which countries did they come from?"
2022 FIFA World Cup,Venues,19,Which countries sent police or military forces to help provide security for the 2022 FIFA World Cup in Qatar?
2022 FIFA World Cup,Venues,19,How many Turkish riot police and Pakistani Army troops were part of the World Cup security force in Qatar?
2022 FIFA World Cup final,Background,3,"How many World Cups had Argentina won before the 2022 final, and which years were those?"
2022 FIFA World Cup final,Background,3,Which teams had France beaten to win the 1998 and 2018 World Cups before coming to Qatar as defending champions?
2022 FIFA World Cup final,Background,3,What record was Didier Deschamps trying to match or break at the 2022 World Cup final as France's coach?
2022 FIFA World Cup final,Background,4,"How did France beat Argentina in the 2018 World Cup round of 16 in Russia, and who scored for both sides?"
2022 FIFA World Cup final,Background,4,Which goal by Benjamin Pavard in the Argentina vs France 2018 match was later voted goal of the tournament?
2022 FIFA World Cup final,Background,4,Why was the 2018 Argentina-France round of 16 at the Kazan Arena described as one of the greatest World Cup games ever?
2022 FIFA World Cup final,Background,5,"What was the special match ball called for the 2022 World Cup semifinals, third-place game, and final?"
2022 FIFA World Cup final,Background,5,Why did Adidas name the 2022 World Cup final ball Al-Hilm?
2022 FIFA World Cup final,Background,5,Which World Cup final ball came after the Adidas Al Rihla and what colors did it use?
2022 FIFA World Cup final,Introduction,0,"Where was the 2022 FIFA World Cup final between Argentina and France played, and on what date did it happen?"
2022 FIFA World Cup final,Introduction,0,Which team did Argentina beat in the 2022 World Cup semi-final to reach the final?
2022 FIFA World Cup final,Introduction,0,Who was the referee for the 2022 FIFA World Cup final in Lusail Stadium?
2022 FIFA World Cup final,Introduction,1,How did Argentina beat France in the 2022 World Cup final after Kylian Mbappé’s late comeback?
2022 FIFA World Cup final,Introduction,1,"Who scored Argentina’s goals in the 2022 World Cup final against France, and what was the final result after penalties?"
2022 FIFA World Cup final,Introduction,1,What records did Lionel Messi and Kylian Mbappé set in the 2022 World Cup final?
2022 FIFA World Cup final,Match,12,How did Lionel Messi score Argentina’s first goal in the 2022 World Cup final against France?
2022 FIFA World Cup final,Match,12,What caused Argentina to be awarded a penalty in the 22nd minute of the World Cup final?
2022 FIFA World Cup final,Match,12,"Who scored Argentina’s second goal against France in the first half of the World Cup final, and how was it set up?"
2022 FIFA World Cup final,Match,13,How did France get back into the 2022 World Cup final against Argentina after Kylian Mbappé scored from the spot?
2022 FIFA World Cup final,Match,13,What happened 97 seconds after Mbappé’s first goal to make the World Cup final level at 2-2?
2022 FIFA World Cup final,Match,13,Which player was booked for diving in extra time after going down in the box against Argentina?
2022 FIFA World Cup final,Match,14,How did Lionel Messi score Argentina's apparent winning goal in extra time against France in the 2022 World Cup final?
2022 FIFA World Cup final,Match,14,Why was France given a penalty in the 118th minute of the World Cup final against Argentina?
2022 FIFA World Cup final,Match,14,Who became only the second man to score a hat-trick in a World Cup final after Geoff Hurst?
2022 FIFA World Cup final,Match,15,How did Emiliano Martínez stop Randal Kolo Muani’s shot in the final seconds of extra time in the 2022 World Cup final?
2022 FIFA World Cup final,Match,15,What happened after Lautaro Martínez missed Argentina’s counterattack chance near the end of extra time against France in the 2022 FIFA World Cup final?
2022 FIFA World Cup final,Match,15,Who made the clearance that denied Kylian Mbappé one last opening before the 2022 World Cup final went to penalties?
2022 FIFA World Cup final,Match,16,"How did Argentina beat France in the 2022 World Cup final penalty shootout, and who scored the winning kick?"
2022 FIFA World Cup final,Match,16,Which French player missed his penalty after Emiliano Martínez tried to distract him in the World Cup final shootout?
2022 FIFA World Cup final,Match,16,Who put Argentina up 4–2 on penalties to win their third World Cup title in Qatar?
2022 FIFA World Cup final,Post-match,17,How did the 2022 World Cup final get described by pundits and media after Argentina beat France?
2022 FIFA World Cup final,Post-match,17,What records did Argentina set by winning the 2022 FIFA World Cup final in Qatar?
2022 FIFA World Cup final,Post-match,17,Which national team became the first South American and non-European side to win the World Cup since Brazil in 2002?
2022 FIFA World Cup final,Post-match,18,How many World Cup titles did South America have after Argentina won the 2022 final against France?
